:@computed_region_5kre_ccpb,:@computed_region_gwq4_fjxs,:@computed_region_s6p5_2pgr,crimecode,crimedate,crimetime,description,district,inside_outside,latitude,location,location_1,location_1_address,location_1_city,location_1_state,location_1_zip,longitude,neighborhood,post,premise,total_incidents,weapon
57,109,13645,6D,2015-06-11T00:00:00.000,18:30:00,LARCENY FROM AUTO,SOUTHEASTERN,O,39.28573,900 TRINITY ST,POINT (-76.60138 39.28573),,,,,-76.60138,Little Italy,211,STREET,1,
65,6,13645,6C,2016-01-06T00:00:00.000,16:00:00,LARCENY,CENTRAL,I,39.28959,100 E BALTIMORE ST,POINT (-76.61286 39.28959),,,,,-76.61286,Downtown,111,DRUG STORE,1,
16,181,27307,6C,2013-10-23T00:00:00.000,17:00:00,LARCENY,NORTHERN,I,39.32829,600 E 33RD ST,POINT (-76.60813 39.32829),,,,,-76.60813,Better Waverly,513,GROCERY/CO,1,
141,123,27935,5A,2017-09-28T00:00:00.000,18:36:00,BURGLARY,SOUTHEASTERN,I,39.29495,200 N LAKEWOOD AVE,POINT (-76.57919 39.29495),,,,,-76.57919,McElderry Park,221,ROW/TOWNHO,1,
54,190,27307,4E,2017-09-27T00:00:00.000,23:08:00,COMMON ASSAULT,NORTHEASTERN,I,39.32609,1700 E 31ST ST,POINT (-76.59178 39.32609),,,,,-76.59178,Coldstream Homestead Mont,411,ROW/TOWNHO,1,HANDS
86,83,27297,4C,2017-09-25T00:00:00.000,15:00:00,AGG. ASSAULT,SOUTHWESTERN,O,39.29815,900 ELLICOTT DY,POINT (-76.66893 39.29815),,,,,-76.66893,Franklintown Road,814,OTHER - OU,1,OTHER
56,29,27297,6E,2016-12-19T00:00:00.000,0:00:00,LARCENY,WESTERN,,39.30668,1600 N BENTALOU ST,POINT (-76.65397 39.30668),,,,,-76.65397,Coppin Heights/Ash-Co-Eas,723,,1,
125,12,14006,6E,2017-09-25T00:00:00.000,8:00:00,LARCENY,NORTHERN,,39.31853,2600 SISSON ST,POINT (-76.62454 39.31853),,,,,-76.62454,Jones Falls Area,511,,1,
30,115,27935,6E,2017-09-28T00:00:00.000,20:00:00,LARCENY,SOUTHEASTERN,O,39.2817,900 S LAKEWOOD AVE,POINT (-76.57838 39.2817),,,,,-76.57838,Canton,232,PARKING LO,1,
102,20,14006,5D,2017-09-27T00:00:00.000,18:00:00,BURGLARY,NORTHERN,,39.3316,3600 FALLS RD,POINT (-76.63517 39.3316),,,,,-76.63517,Hampden,531,,1,
